"","usertype","timestamp","freq"
"483","Short-Term Pass Holder",1423353600,42
"484","Short-Term Pass Holder",1423440000,95
"485","Short-Term Pass Holder",1423526400,33
"486","Short-Term Pass Holder",1423612800,23
"487","Short-Term Pass Holder",1423699200,23
"488","Short-Term Pass Holder",1423785600,44
"489","Short-Term Pass Holder",1423872000,99
"490","Short-Term Pass Holder",1423958400,256
"491","Short-Term Pass Holder",1424044800,224
"492","Short-Term Pass Holder",1424131200,106
"493","Short-Term Pass Holder",1424217600,73
"494","Short-Term Pass Holder",1424304000,51
"495","Short-Term Pass Holder",1424390400,32
"496","Short-Term Pass Holder",1424476800,55
"497","Short-Term Pass Holder",1424563200,247
"498","Short-Term Pass Holder",1424649600,154
"499","Short-Term Pass Holder",1424736000,66
"500","Short-Term Pass Holder",1424822400,59
"501","Short-Term Pass Holder",1424908800,23
"502","Short-Term Pass Holder",1424995200,34
"503","Short-Term Pass Holder",1425081600,30
"504","Short-Term Pass Holder",1425168000,260
"505","Short-Term Pass Holder",1425254400,154
"506","Short-Term Pass Holder",1425340800,38
"507","Short-Term Pass Holder",1425427200,36
"508","Short-Term Pass Holder",1425513600,60
"509","Short-Term Pass Holder",1425600000,37
"510","Short-Term Pass Holder",1425686400,81
"511","Short-Term Pass Holder",1425772800,293
"512","Short-Term Pass Holder",1425859200,286
"513","Short-Term Pass Holder",1425945600,79
"514","Short-Term Pass Holder",1426032000,74
"515","Short-Term Pass Holder",1426118400,84
"516","Short-Term Pass Holder",1426204800,107
"517","Short-Term Pass Holder",1426291200,109
"518","Short-Term Pass Holder",1426377600,123
"519","Short-Term Pass Holder",1426464000,8
"520","Short-Term Pass Holder",1426550400,88
"521","Short-Term Pass Holder",1426636800,76
"522","Short-Term Pass Holder",1426723200,76
"523","Short-Term Pass Holder",1426809600,111
"524","Short-Term Pass Holder",1426896000,93
"525","Short-Term Pass Holder",1426982400,191
"526","Short-Term Pass Holder",1427068800,93
"527","Short-Term Pass Holder",1427155200,42
"528","Short-Term Pass Holder",1427241600,131
"529","Short-Term Pass Holder",1427328000,51
"530","Short-Term Pass Holder",1427414400,230
"531","Short-Term Pass Holder",1427500800,146
"532","Short-Term Pass Holder",1427587200,174
"533","Short-Term Pass Holder",1427673600,143
"534","Short-Term Pass Holder",1427760000,118
"535","Short-Term Pass Holder",1427846400,64
"536","Short-Term Pass Holder",1427932800,100
"537","Short-Term Pass Holder",1428019200,110
"538","Short-Term Pass Holder",1428105600,62
"539","Short-Term Pass Holder",1428192000,286
"540","Short-Term Pass Holder",1428278400,194
"541","Short-Term Pass Holder",1428364800,80
"542","Short-Term Pass Holder",1428451200,80
"543","Short-Term Pass Holder",1428537600,114
"544","Short-Term Pass Holder",1428624000,153
"545","Short-Term Pass Holder",1428710400,152
"546","Short-Term Pass Holder",1428796800,99
"547","Short-Term Pass Holder",1428883200,151
"548","Short-Term Pass Holder",1428969600,35
"549","Short-Term Pass Holder",1429056000,26
"550","Short-Term Pass Holder",1429142400,46
"551","Short-Term Pass Holder",1429228800,116
"552","Short-Term Pass Holder",1429315200,300
"553","Short-Term Pass Holder",1429401600,551
"554","Short-Term Pass Holder",1429488000,622
"555","Short-Term Pass Holder",1429574400,583
"556","Short-Term Pass Holder",1429660800,261
"557","Short-Term Pass Holder",1429747200,162
"558","Short-Term Pass Holder",1429833600,51
"559","Short-Term Pass Holder",1429920000,104
"560","Short-Term Pass Holder",1430006400,322
"561","Short-Term Pass Holder",1430092800,202
"562","Short-Term Pass Holder",1430179200,188
"563","Short-Term Pass Holder",1430265600,62
"564","Short-Term Pass Holder",1430352000,51
"565","Short-Term Pass Holder",1430438400,98
"566","Short-Term Pass Holder",1430524800,136
"567","Short-Term Pass Holder",1430611200,388
"568","Short-Term Pass Holder",1430697600,313
"569","Short-Term Pass Holder",1430784000,81
"570","Short-Term Pass Holder",1430870400,39
"571","Short-Term Pass Holder",1430956800,67
"572","Short-Term Pass Holder",1431043200,153
"573","Short-Term Pass Holder",1431129600,231
"574","Short-Term Pass Holder",1431216000,575
"575","Short-Term Pass Holder",1431302400,287
"576","Short-Term Pass Holder",1431388800,105
"577","Short-Term Pass Holder",1431475200,60
"578","Short-Term Pass Holder",1431561600,46
"579","Short-Term Pass Holder",1431648000,130
"580","Short-Term Pass Holder",1431734400,190
"581","Short-Term Pass Holder",1431820800,273
"582","Short-Term Pass Holder",1431907200,296
"583","Short-Term Pass Holder",1431993600,194
"584","Short-Term Pass Holder",1432080000,164
"585","Short-Term Pass Holder",1432166400,139
"586","Short-Term Pass Holder",1432252800,196
"587","Short-Term Pass Holder",1432339200,186
"588","Short-Term Pass Holder",1432425600,384
"589","Short-Term Pass Holder",1432512000,335
"590","Short-Term Pass Holder",1432598400,282
"591","Short-Term Pass Holder",1432684800,121
"592","Short-Term Pass Holder",1432771200,227
"593","Short-Term Pass Holder",1432857600,253
"594","Short-Term Pass Holder",1432944000,245
"595","Short-Term Pass Holder",1433030400,406
"596","Short-Term Pass Holder",1433116800,364
"597","Short-Term Pass Holder",1433203200,88
"598","Short-Term Pass Holder",1433289600,102
"599","Short-Term Pass Holder",1433376000,126
"600","Short-Term Pass Holder",1433462400,178
"601","Short-Term Pass Holder",1433548800,245
"602","Short-Term Pass Holder",1433635200,347
"603","Short-Term Pass Holder",1433721600,316
"604","Short-Term Pass Holder",1433808000,199
"605","Short-Term Pass Holder",1433894400,175
"606","Short-Term Pass Holder",1433980800,139
"607","Short-Term Pass Holder",1434067200,231
"608","Short-Term Pass Holder",1434153600,207
"609","Short-Term Pass Holder",1434240000,496
"610","Short-Term Pass Holder",1434326400,370
"611","Short-Term Pass Holder",1434412800,282
"612","Short-Term Pass Holder",1434499200,219
"613","Short-Term Pass Holder",1434585600,189
"614","Short-Term Pass Holder",1434672000,244
"615","Short-Term Pass Holder",1434758400,189
"616","Short-Term Pass Holder",1434844800,406
"617","Short-Term Pass Holder",1434931200,304
"618","Short-Term Pass Holder",1435017600,213
"619","Short-Term Pass Holder",1435104000,140
"620","Short-Term Pass Holder",1435190400,184
"621","Short-Term Pass Holder",1435276800,178
"622","Short-Term Pass Holder",1435363200,204
"623","Short-Term Pass Holder",1435449600,307
"624","Short-Term Pass Holder",1435536000,245
"625","Short-Term Pass Holder",1435622400,155
"626","Short-Term Pass Holder",1435708800,134
"627","Short-Term Pass Holder",1435795200,120
"628","Short-Term Pass Holder",1435881600,205
"629","Short-Term Pass Holder",1435968000,421
"630","Short-Term Pass Holder",1436054400,616
"631","Short-Term Pass Holder",1436140800,398
"632","Short-Term Pass Holder",1436227200,253
"633","Short-Term Pass Holder",1436313600,205
"634","Short-Term Pass Holder",1436400000,207
"635","Short-Term Pass Holder",1436486400,262
"636","Short-Term Pass Holder",1436572800,270
"637","Short-Term Pass Holder",1436659200,354
"638","Short-Term Pass Holder",1436745600,397
"639","Short-Term Pass Holder",1436832000,301
"640","Short-Term Pass Holder",1436918400,219
"641","Short-Term Pass Holder",1437004800,253
"642","Short-Term Pass Holder",1437091200,234
"643","Short-Term Pass Holder",1437177600,339
"644","Short-Term Pass Holder",1437264000,470
"645","Short-Term Pass Holder",1437350400,442
"646","Short-Term Pass Holder",1437436800,136
"647","Short-Term Pass Holder",1437523200,153
"648","Short-Term Pass Holder",1437609600,249
"649","Short-Term Pass Holder",1437696000,244
"650","Short-Term Pass Holder",1437782400,180
"651","Short-Term Pass Holder",1437868800,409
"652","Short-Term Pass Holder",1437955200,231
"653","Short-Term Pass Holder",1438041600,263
"654","Short-Term Pass Holder",1438128000,264
"655","Short-Term Pass Holder",1438214400,236
"656","Short-Term Pass Holder",1438300800,211
"657","Short-Term Pass Holder",1438387200,229
"658","Short-Term Pass Holder",1438473600,519
"659","Short-Term Pass Holder",1438560000,358
"660","Short-Term Pass Holder",1438646400,258
"661","Short-Term Pass Holder",1438732800,233
"662","Short-Term Pass Holder",1438819200,221
"663","Short-Term Pass Holder",1438905600,252
"664","Short-Term Pass Holder",1438992000,262
"665","Short-Term Pass Holder",1439078400,363
"666","Short-Term Pass Holder",1439164800,444
"667","Short-Term Pass Holder",1439251200,252
"668","Short-Term Pass Holder",1439337600,194
"669","Short-Term Pass Holder",1439424000,223
"670","Short-Term Pass Holder",1439510400,249
"671","Short-Term Pass Holder",1439596800,98
"672","Short-Term Pass Holder",1439683200,374
"673","Short-Term Pass Holder",1439769600,398
"674","Short-Term Pass Holder",1439856000,241
"675","Short-Term Pass Holder",1439942400,198
"676","Short-Term Pass Holder",1440028800,235
"677","Short-Term Pass Holder",1440115200,170
"678","Short-Term Pass Holder",1440201600,250
"679","Short-Term Pass Holder",1440288000,336
"680","Short-Term Pass Holder",1440374400,289
"681","Short-Term Pass Holder",1440460800,262
"682","Short-Term Pass Holder",1440547200,160
"683","Short-Term Pass Holder",1440633600,175
"684","Short-Term Pass Holder",1440720000,222
"685","Short-Term Pass Holder",1440806400,175
