"","from","to","from_id","to_id","freq","from_lat","from_long","to_lat","to_long"
"66","Summit Ave & E Denny Way","7th Ave & Union St","CH-01","CBD-03",277,47.618633,-122.325249,47.610731,-122.332447
"67","2nd Ave & Blanchard St","Key Arena / 1st Ave N & Harrison St","BT-05","SLU-19",276,47.61311,-122.344208,47.622277,-122.35523
"68","E Pine St & 16th Ave","REI / Yale Ave N & John St","CH-07","SLU-01",275,47.61533,-122.311752,47.619859,-122.330304
"69","Pine St & 9th Ave","Republican St & Westlake Ave N","SLU-16","SLU-04",274,47.613715,-122.331777,47.623165,-122.338203
"70","Westlake Ave & 6th Ave","PATH / 9th Ave & Westlake Ave","SLU-15","SLU-07",274,47.613628,-122.337341,47.61832,-122.338913
"71","Seattle University / E Columbia St & 12th Ave","2nd Ave & Pine St","FH-04","CBD-13",271,47.609239,-122.316651,47.610185,-122.339641
"72","3rd Ave & Broad St","Westlake Ave & 6th Ave","BT-01","SLU-15",270,47.618418,-122.350964,47.613628,-122.337341
"73","2nd Ave & Vine St","2nd Ave & Spring St","BT-03","CBD-06",267,47.615829,-122.348564,47.60595,-122.335768
"74","2nd Ave & Pine St","Pier 69 / Alaskan Way & Clay St","CBD-13","WF-01",266,47.610185,-122.339641,47.614315,-122.354093
"75","E Pine St & 16th Ave","PATH / 9th Ave & Westlake Ave","CH-07","SLU-07",265,47.61533,-122.311752,47.61832,-122.338913
"76","2nd Ave & Vine St","9th Ave N & Mercer St","BT-03","DPD-01",263,47.615829,-122.348564,47.624298,-122.339617
"77","REI / Yale Ave N & John St","Republican St & Westlake Ave N","SLU-01","SLU-04",263,47.619859,-122.330304,47.623165,-122.338203
"78","Summit Ave E & E Republican St","Summit Ave & E Denny Way","CH-03","CH-01",261,47.623367,-122.325279,47.618633,-122.325249
"79","2nd Ave & Pine St","King Street Station Plaza / 2nd Ave Extension S & S Jackson St","CBD-13","PS-05",260,47.610185,-122.339641,47.598994,-122.329684
"80","3rd Ave & Broad St","PATH / 9th Ave & Westlake Ave","BT-01","SLU-07",260,47.618418,-122.350964,47.61832,-122.338913
"81","3rd Ave & Broad St","REI / Yale Ave N & John St","BT-01","SLU-01",257,47.618418,-122.350964,47.619859,-122.330304
"82","Frye Art Museum / Terry Ave & Columbia St","Cal Anderson Park / 11th Ave & Pine St","FH-01","CH-08",256,47.607281,-122.324783,47.615486,-122.318245
"83","Summit Ave & E Denny Way","Pine St & 9th Ave","CH-01","SLU-16",256,47.618633,-122.325249,47.613715,-122.331777
"84","2nd Ave & Pine St","PATH / 9th Ave & Westlake Ave","CBD-13","SLU-07",255,47.610185,-122.339641,47.61832,-122.338913
"85","2nd Ave & Pine St","Key Arena / 1st Ave N & Harrison St","CBD-13","SLU-19",254,47.610185,-122.339641,47.622277,-122.35523
"86","12th Ave & E Mercer St","Cal Anderson Park / 11th Ave & Pine St","CH-15","CH-08",253,47.624142,-122.316811,47.615486,-122.318245
"87","Cal Anderson Park / 11th Ave & Pine St","Pine St & 9th Ave","CH-08","SLU-16",253,47.615486,-122.318245,47.613715,-122.331777
"88","E Pine St & 16th Ave","Cal Anderson Park / 11th Ave & Pine St","CH-07","CH-08",253,47.61533,-122.311752,47.615486,-122.318245
"89","Key Arena / 1st Ave N & Harrison St","Pier 69 / Alaskan Way & Clay St","SLU-19","WF-01",253,47.622277,-122.35523,47.614315,-122.354093
"90","Cal Anderson Park / 11th Ave & Pine St","2nd Ave & Pine St","CH-08","CBD-13",252,47.615486,-122.318245,47.610185,-122.339641
"91","Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St","E Blaine St & Fairview Ave E","EL-01","EL-03",251,47.627643,-122.332576,47.634831,-122.326634
"92","3rd Ave & Broad St","2nd Ave & Blanchard St","BT-01","BT-05",250,47.618418,-122.350964,47.61311,-122.344208
"93","Occidental Park / Occidental Ave S & S Washington St","2nd Ave & Spring St","PS-04","CBD-06",249,47.600757,-122.332946,47.60595,-122.335768
"94","Occidental Park / Occidental Ave S & S Washington St","Pier 69 / Alaskan Way & Clay St","PS-04","WF-01",249,47.600757,-122.332946,47.614315,-122.354093
"95","PATH / 9th Ave & Westlake Ave","9th Ave N & Mercer St","SLU-07","DPD-01",249,47.61832,-122.338913,47.624298,-122.339617
"96","Dexter Ave N & Aloha St","Westlake Ave & 6th Ave","SLU-02","SLU-15",247,47.627735,-122.342232,47.613628,-122.337341
"97","Pine St & 9th Ave","2nd Ave & Pine St","SLU-16","CBD-13",246,47.613715,-122.331777,47.610185,-122.339641
"98","Harvard Ave & E Pine St","Pine St & 9th Ave","CH-09","SLU-16",245,47.615517,-122.322083,47.613715,-122.331777
"99","REI / Yale Ave N & John St","3rd Ave & Broad St","SLU-01","BT-01",245,47.619859,-122.330304,47.618418,-122.350964
