"date","precipitation","count"
"326",2015-09-03,0,513
"327",2015-09-04,0,439
"328",2015-09-05,0.06,302
"329",2015-09-06,0.19,344
"330",2015-09-07,0,458
"331",2015-09-08,0,409
"332",2015-09-09,0,575
"333",2015-09-10,0.01,527
"334",2015-09-11,0,634
"335",2015-09-12,0,514
"336",2015-09-13,0.03,261
"337",2015-09-14,0,421
"338",2015-09-15,0,436
"339",2015-09-16,0.04,476
"340",2015-09-17,0.58,311
"341",2015-09-18,0.01,494
"342",2015-09-19,0,384
"343",2015-09-20,0.09,316
"344",2015-09-21,0,401
"345",2015-09-22,0,463
"346",2015-09-23,0,470
"347",2015-09-24,0,547
"348",2015-09-25,0.03,385
"349",2015-09-26,0,488
"350",2015-09-27,0,319
"351",2015-09-28,0,504
"352",2015-09-29,0,533
"353",2015-09-30,0,445
"354",2015-10-01,0.01,449
"355",2015-10-02,0,434
"356",2015-10-03,0,372
"357",2015-10-04,0,462
"358",2015-10-05,0,489
"359",2015-10-06,0.01,397
"360",2015-10-07,0.38,253
"361",2015-10-08,0,431
"362",2015-10-09,0.01,370
"363",2015-10-10,0.77,127
"364",2015-10-11,0,319
"365",2015-10-12,0.34,393
