"","from","to","freq"
"424","CBD07","UW04",4
"425","CBD07","WF01",59
"426","CBD07","WF04",65
"427","CBD13","BT01",574
"428","CBD13","BT03",242
"429","CBD13","BT04",96
"430","CBD13","BT05",103
"431","CBD13","CBD03",80
"432","CBD13","CBD04",14
"433","CBD13","CBD05",336
"434","CBD13","CBD06",176
"435","CBD13","CBD07",110
"436","CBD13","CBD13",308
"437","CBD13","CD01",5
"438","CBD13","CH01",46
"439","CBD13","CH02",19
"440","CBD13","CH03",38
"441","CBD13","CH05",29
"442","CBD13","CH06",15
"443","CBD13","CH07",41
"444","CBD13","CH08",73
"445","CBD13","CH09",75
"446","CBD13","CH12",83
"447","CBD13","CH15",60
"448","CBD13","DPD01",54
"449","CBD13","EL01",26
"450","CBD13","EL03",64
"451","CBD13","EL05",14
"452","CBD13","FH01",21
"453","CBD13","FH04",32
"454","CBD13","ID04",151
"455","CBD13","PS04",360
"456","CBD13","PS05",260
"457","CBD13","SLU01",135
"458","CBD13","SLU02",96
"459","CBD13","SLU04",164
"460","CBD13","SLU07",255
"461","CBD13","SLU15",235
"462","CBD13","SLU16",108
"463","CBD13","SLU17",64
"464","CBD13","SLU18",92
"465","CBD13","SLU19",254
"466","CBD13","SLU20",58
"467","CBD13","SLU21",2
"468","CBD13","UD01",1
"469","CBD13","UD02",5
"470","CBD13","UD04",21
"471","CBD13","UD07",6
"472","CBD13","UW02",1
"473","CBD13","UW04",7
"474","CBD13","UW07",1
"475","CBD13","UW10",4
"476","CBD13","WF01",266
"477","CBD13","WF04",105
"478","CD01","BT01",3
"479","CD01","BT03",1
"480","CD01","BT04",1
"481","CD01","BT05",3
"482","CD01","CBD03",13
"483","CD01","CBD04",2
"484","CD01","CBD05",5
"485","CD01","CBD06",8
"486","CD01","CBD07",38
"487","CD01","CBD13",7
"488","CD01","CD01",13
"489","CD01","CH01",1
"490","CD01","CH02",19
"491","CD01","CH03",1
"492","CD01","CH05",4
"493","CD01","CH06",10
"494","CD01","CH07",5
"495","CD01","CH08",49
"496","CD01","CH09",16
"497","CD01","CH12",2
"498","CD01","CH15",9
"499","CD01","DPD01",2
"500","CD01","EL03",1
"501","CD01","FH01",5
"502","CD01","FH04",31
"503","CD01","ID04",57
"504","CD01","PS04",70
"505","CD01","PS05",12
"506","CD01","SLU15",8
"507","CD01","SLU16",2
"508","CD01","SLU18",2
"509","CD01","SLU19",3
"510","CD01","SLU20",2
"511","CD01","UD04",3
"512","CD01","WF01",24
"513","CD01","WF04",8
"514","CH01","BT01",144
"515","CH01","BT03",23
"516","CH01","BT04",12
"517","CH01","BT05",119
"518","CH01","CBD03",277
"519","CH01","CBD04",18
"520","CH01","CBD05",51
"521","CH01","CBD06",237
"522","CH01","CBD07",29
"523","CH01","CBD13",125
"524","CH01","CD01",7
"525","CH01","CH01",72
"526","CH01","CH02",92
"527","CH01","CH03",294
"528","CH01","CH05",35
"529","CH01","CH06",15
"530","CH01","CH07",22
"531","CH01","CH08",80
"532","CH01","CH09",40
"533","CH01","CH12",69
"534","CH01","CH15",28
"535","CH01","DPD01",57
"536","CH01","DPD03",1
"537","CH01","EL01",86
"538","CH01","EL03",26
"539","CH01","EL05",55
"540","CH01","FH01",17
"541","CH01","FH04",22
"542","CH01","ID04",14
"543","CH01","PS04",279
"544","CH01","PS05",20
"545","CH01","SLU01",221
"546","CH01","SLU02",28
"547","CH01","SLU04",81
"548","CH01","SLU07",56
"549","CH01","SLU15",65
"550","CH01","SLU16",256
"551","CH01","SLU17",27
"552","CH01","SLU18",30
"553","CH01","SLU19",32
"554","CH01","SLU20",14
"555","CH01","SLU21",1
"556","CH01","UD02",4
"557","CH01","UD04",9
"558","CH01","UD07",9
"559","CH01","UW02",1
"560","CH01","UW04",1
"561","CH01","UW07",1
"562","CH01","UW10",2
"563","CH01","WF01",13
"564","CH01","WF04",18
"565","CH02","BT01",47
"566","CH02","BT03",26
"567","CH02","BT04",19
"568","CH02","BT05",187
"569","CH02","CBD03",229
"570","CH02","CBD04",14
"571","CH02","CBD05",160
"572","CH02","CBD06",74
"573","CH02","CBD07",32
"574","CH02","CBD13",284
"575","CH02","CD01",86
"576","CH02","CH01",219
"577","CH02","CH02",178
"578","CH02","CH03",163
"579","CH02","CH05",58
"580","CH02","CH06",50
"581","CH02","CH07",244
"582","CH02","CH08",437
"583","CH02","CH09",320
"584","CH02","CH12",156
"585","CH02","CH15",46
"586","CH02","DPD01",39
"587","CH02","DPD03",5
"588","CH02","EL01",10
"589","CH02","EL03",72
"590","CH02","EL05",93
"591","CH02","FH01",69
