"","freq","from","to"
"318",25,"CBD05","SLU01"
"319",14,"CBD05","SLU02"
"320",36,"CBD05","SLU04"
"321",26,"CBD05","SLU07"
"322",186,"CBD05","SLU15"
"323",15,"CBD05","SLU16"
"324",14,"CBD05","SLU17"
"325",16,"CBD05","SLU18"
"326",166,"CBD05","SLU19"
"327",5,"CBD05","SLU20"
"328",6,"CBD05","UD04"
"329",2,"CBD05","UD07"
"330",1,"CBD05","UW06"
"331",1,"CBD05","UW07"
"332",415,"CBD05","WF01"
"333",178,"CBD05","WF04"
"334",340,"CBD06","BT01"
"335",93,"CBD06","BT03"
"336",71,"CBD06","BT04"
"337",99,"CBD06","BT05"
"338",58,"CBD06","CBD03"
"339",10,"CBD06","CBD04"
"340",61,"CBD06","CBD05"
"341",145,"CBD06","CBD06"
"342",80,"CBD06","CBD07"
"343",203,"CBD06","CBD13"
"344",5,"CBD06","CD01"
"345",19,"CBD06","CH01"
"346",15,"CBD06","CH02"
"347",7,"CBD06","CH03"
"348",38,"CBD06","CH05"
"349",11,"CBD06","CH06"
"350",17,"CBD06","CH07"
"351",24,"CBD06","CH08"
"352",12,"CBD06","CH09"
"353",40,"CBD06","CH12"
"354",4,"CBD06","CH15"
"355",25,"CBD06","DPD01"
"356",8,"CBD06","EL01"
"357",10,"CBD06","EL03"
"358",7,"CBD06","EL05"
"359",4,"CBD06","FH01"
"360",12,"CBD06","FH04"
"361",117,"CBD06","ID04"
"362",1,"CBD06","Pronto shop"
"363",300,"CBD06","PS04"
"364",235,"CBD06","PS05"
"365",56,"CBD06","SLU01"
"366",111,"CBD06","SLU02"
"367",45,"CBD06","SLU04"
"368",64,"CBD06","SLU07"
"369",162,"CBD06","SLU15"
"370",71,"CBD06","SLU16"
"371",30,"CBD06","SLU17"
"372",23,"CBD06","SLU18"
"373",139,"CBD06","SLU19"
"374",10,"CBD06","SLU20"
"375",1,"CBD06","UD01"
"376",4,"CBD06","UD04"
"377",1,"CBD06","UD07"
"378",2,"CBD06","UW04"
"379",134,"CBD06","WF01"
"380",86,"CBD06","WF04"
"381",127,"CBD07","BT01"
"382",58,"CBD07","BT03"
"383",26,"CBD07","BT04"
"384",56,"CBD07","BT05"
"385",35,"CBD07","CBD03"
"386",19,"CBD07","CBD04"
"387",51,"CBD07","CBD05"
"388",85,"CBD07","CBD06"
"389",112,"CBD07","CBD07"
"390",119,"CBD07","CBD13"
"391",1,"CBD07","CD01"
"392",13,"CBD07","CH01"
"393",3,"CBD07","CH02"
"394",4,"CBD07","CH03"
"395",7,"CBD07","CH05"
"396",2,"CBD07","CH06"
"397",13,"CBD07","CH07"
"398",18,"CBD07","CH08"
"399",6,"CBD07","CH09"
"400",8,"CBD07","CH12"
"401",10,"CBD07","CH15"
"402",18,"CBD07","DPD01"
"403",5,"CBD07","EL01"
"404",29,"CBD07","EL03"
"405",4,"CBD07","EL05"
"406",11,"CBD07","FH01"
"407",10,"CBD07","FH04"
"408",183,"CBD07","ID04"
"409",1,"CBD07","Pronto shop"
"410",124,"CBD07","PS04"
"411",139,"CBD07","PS05"
"412",89,"CBD07","SLU01"
"413",25,"CBD07","SLU02"
"414",33,"CBD07","SLU04"
"415",42,"CBD07","SLU07"
"416",69,"CBD07","SLU15"
"417",24,"CBD07","SLU16"
"418",9,"CBD07","SLU17"
"419",34,"CBD07","SLU18"
"420",79,"CBD07","SLU19"
"421",7,"CBD07","SLU20"
"422",1,"CBD07","SLU21"
"423",1,"CBD07","UD01"
"424",4,"CBD07","UW04"
"425",59,"CBD07","WF01"
"426",65,"CBD07","WF04"
"427",574,"CBD13","BT01"
"428",242,"CBD13","BT03"
"429",96,"CBD13","BT04"
"430",103,"CBD13","BT05"
"431",80,"CBD13","CBD03"
"432",14,"CBD13","CBD04"
"433",336,"CBD13","CBD05"
"434",176,"CBD13","CBD06"
"435",110,"CBD13","CBD07"
"436",308,"CBD13","CBD13"
"437",5,"CBD13","CD01"
"438",46,"CBD13","CH01"
"439",19,"CBD13","CH02"
"440",38,"CBD13","CH03"
"441",29,"CBD13","CH05"
"442",15,"CBD13","CH06"
"443",41,"CBD13","CH07"
"444",73,"CBD13","CH08"
"445",75,"CBD13","CH09"
"446",83,"CBD13","CH12"
"447",60,"CBD13","CH15"
"448",54,"CBD13","DPD01"
"449",26,"CBD13","EL01"
"450",64,"CBD13","EL03"
"451",14,"CBD13","EL05"
"452",21,"CBD13","FH01"
"453",32,"CBD13","FH04"
"454",151,"CBD13","ID04"
"455",360,"CBD13","PS04"
"456",260,"CBD13","PS05"
"457",135,"CBD13","SLU01"
"458",96,"CBD13","SLU02"
"459",164,"CBD13","SLU04"
"460",255,"CBD13","SLU07"
"461",235,"CBD13","SLU15"
"462",108,"CBD13","SLU16"
"463",64,"CBD13","SLU17"
"464",92,"CBD13","SLU18"
"465",254,"CBD13","SLU19"
"466",58,"CBD13","SLU20"
"467",2,"CBD13","SLU21"
"468",1,"CBD13","UD01"
"469",5,"CBD13","UD02"
"470",21,"CBD13","UD04"
"471",6,"CBD13","UD07"
"472",1,"CBD13","UW02"
"473",7,"CBD13","UW04"
"474",1,"CBD13","UW07"
"475",4,"CBD13","UW10"
"476",266,"CBD13","WF01"
"477",105,"CBD13","WF04"
"478",3,"CD01","BT01"
"479",1,"CD01","BT03"
"480",1,"CD01","BT04"
"481",3,"CD01","BT05"
"482",13,"CD01","CBD03"
"483",2,"CD01","CBD04"
"484",5,"CD01","CBD05"
"485",8,"CD01","CBD06"
"486",38,"CD01","CBD07"
"487",7,"CD01","CBD13"
"488",13,"CD01","CD01"
"489",1,"CD01","CH01"
"490",19,"CD01","CH02"
"491",1,"CD01","CH03"
"492",4,"CD01","CH05"
"493",10,"CD01","CH06"
"494",5,"CD01","CH07"
"495",49,"CD01","CH08"
"496",16,"CD01","CH09"
"497",2,"CD01","CH12"
"498",9,"CD01","CH15"
"499",2,"CD01","DPD01"
"500",1,"CD01","EL03"
"501",5,"CD01","FH01"
"502",31,"CD01","FH04"
"503",57,"CD01","ID04"
"504",70,"CD01","PS04"
"505",12,"CD01","PS05"
"506",8,"CD01","SLU15"
"507",2,"CD01","SLU16"
"508",2,"CD01","SLU18"
"509",3,"CD01","SLU19"
"510",2,"CD01","SLU20"
"511",3,"CD01","UD04"
"512",24,"CD01","WF01"
"513",8,"CD01","WF04"
"514",144,"CH01","BT01"
"515",23,"CH01","BT03"
"516",12,"CH01","BT04"
"517",119,"CH01","BT05"
"518",277,"CH01","CBD03"
"519",18,"CH01","CBD04"
"520",51,"CH01","CBD05"
"521",237,"CH01","CBD06"
"522",29,"CH01","CBD07"
"523",125,"CH01","CBD13"
"524",7,"CH01","CD01"
"525",72,"CH01","CH01"
"526",92,"CH01","CH02"
"527",294,"CH01","CH03"
"528",35,"CH01","CH05"
"529",15,"CH01","CH06"
"530",22,"CH01","CH07"
"531",80,"CH01","CH08"
"532",40,"CH01","CH09"
"533",69,"CH01","CH12"
"534",28,"CH01","CH15"
"535",57,"CH01","DPD01"
"536",1,"CH01","DPD03"
"537",86,"CH01","EL01"
"538",26,"CH01","EL03"
"539",55,"CH01","EL05"
"540",17,"CH01","FH01"
"541",22,"CH01","FH04"
"542",14,"CH01","ID04"
"543",279,"CH01","PS04"
"544",20,"CH01","PS05"
"545",221,"CH01","SLU01"
"546",28,"CH01","SLU02"
"547",81,"CH01","SLU04"
"548",56,"CH01","SLU07"
"549",65,"CH01","SLU15"
"550",256,"CH01","SLU16"
"551",27,"CH01","SLU17"
"552",30,"CH01","SLU18"
"553",32,"CH01","SLU19"
"554",14,"CH01","SLU20"
"555",1,"CH01","SLU21"
"556",4,"CH01","UD02"
"557",9,"CH01","UD04"
"558",9,"CH01","UD07"
"559",1,"CH01","UW02"
"560",1,"CH01","UW04"
"561",1,"CH01","UW07"
"562",2,"CH01","UW10"
"563",13,"CH01","WF01"
"564",18,"CH01","WF04"
"565",47,"CH02","BT01"
"566",26,"CH02","BT03"
"567",19,"CH02","BT04"
"568",187,"CH02","BT05"
"569",229,"CH02","CBD03"
"570",14,"CH02","CBD04"
"571",160,"CH02","CBD05"
"572",74,"CH02","CBD06"
"573",32,"CH02","CBD07"
"574",284,"CH02","CBD13"
"575",86,"CH02","CD01"
"576",219,"CH02","CH01"
"577",178,"CH02","CH02"
"578",163,"CH02","CH03"
"579",58,"CH02","CH05"
"580",50,"CH02","CH06"
"581",244,"CH02","CH07"
"582",437,"CH02","CH08"
"583",320,"CH02","CH09"
"584",156,"CH02","CH12"
"585",46,"CH02","CH15"
"586",39,"CH02","DPD01"
"587",5,"CH02","DPD03"
"588",10,"CH02","EL01"
"589",72,"CH02","EL03"
"590",93,"CH02","EL05"
"591",69,"CH02","FH01"
"592",89,"CH02","FH04"
"593",96,"CH02","ID04"
"594",66,"CH02","PS04"
"595",64,"CH02","PS05"
"596",110,"CH02","SLU01"
"597",17,"CH02","SLU02"
"598",46,"CH02","SLU04"
"599",58,"CH02","SLU07"
"600",106,"CH02","SLU15"
"601",473,"CH02","SLU16"
"602",42,"CH02","SLU17"
"603",30,"CH02","SLU18"
"604",26,"CH02","SLU19"
"605",44,"CH02","SLU20"
"606",8,"CH02","UD01"
"607",16,"CH02","UD02"
"608",70,"CH02","UD04"
"609",15,"CH02","UD07"
"610",4,"CH02","UW01"
"611",2,"CH02","UW02"
"612",24,"CH02","UW04"
"613",9,"CH02","UW06"
"614",8,"CH02","UW07"
"615",29,"CH02","UW10"
"616",8,"CH02","WF01"
"617",13,"CH02","WF04"
"618",65,"CH03","BT01"
"619",8,"CH03","BT03"
"620",12,"CH03","BT04"
"621",62,"CH03","BT05"
"622",313,"CH03","CBD03"
"623",43,"CH03","CBD04"
"624",72,"CH03","CBD05"
"625",142,"CH03","CBD06"
"626",21,"CH03","CBD07"
"627",129,"CH03","CBD13"
"628",261,"CH03","CH01"
"629",38,"CH03","CH02"
"630",73,"CH03","CH03"
"631",19,"CH03","CH05"
"632",5,"CH03","CH06"
"633",28,"CH03","CH07"
"634",81,"CH03","CH08"
"635",148,"CH03","CH09"
"636",125,"CH03","CH12"
"637",13,"CH03","CH15"
"638",50,"CH03","DPD01"
"639",7,"CH03","DPD03"
"640",22,"CH03","EL01"
"641",104,"CH03","EL03"
"642",42,"CH03","EL05"
"643",33,"CH03","FH01"
"644",25,"CH03","FH04"
"645",15,"CH03","ID04"
"646",53,"CH03","PS04"
"647",23,"CH03","PS05"
"648",120,"CH03","SLU01"
"649",6,"CH03","SLU02"
"650",134,"CH03","SLU04"
"651",57,"CH03","SLU07"
"652",108,"CH03","SLU15"
"653",436,"CH03","SLU16"
"654",33,"CH03","SLU17"
"655",46,"CH03","SLU18"
"656",24,"CH03","SLU19"
"657",8,"CH03","SLU20"
"658",1,"CH03","SLU21"
"659",11,"CH03","UD02"
"660",35,"CH03","UD04"
"661",6,"CH03","UD07"
"662",14,"CH03","UW04"
"663",6,"CH03","UW06"
"664",5,"CH03","UW07"
"665",50,"CH03","UW10"
"666",17,"CH03","WF01"
"667",12,"CH03","WF04"
"668",19,"CH05","BT01"
"669",20,"CH05","BT03"
"670",12,"CH05","BT04"
"671",76,"CH05","BT05"
"672",283,"CH05","CBD03"
"673",16,"CH05","CBD04"
"674",29,"CH05","CBD05"
"675",49,"CH05","CBD06"
"676",77,"CH05","CBD07"
"677",148,"CH05","CBD13"
"678",7,"CH05","CD01"
"679",98,"CH05","CH01"
"680",328,"CH05","CH02"
"681",168,"CH05","CH03"
"682",106,"CH05","CH05"
"683",31,"CH05","CH06"
"684",292,"CH05","CH07"
"685",310,"CH05","CH08"
"686",148,"CH05","CH09"
"687",124,"CH05","CH12"
"688",64,"CH05","CH15"
"689",14,"CH05","DPD01"
"690",2,"CH05","DPD03"
"691",122,"CH05","EL01"
"692",19,"CH05","EL03"
"693",24,"CH05","EL05"
"694",29,"CH05","FH01"
"695",98,"CH05","FH04"
"696",53,"CH05","ID04"
"697",2,"CH05","Pronto shop"
"698",101,"CH05","PS04"
"699",35,"CH05","PS05"
"700",105,"CH05","SLU01"
"701",8,"CH05","SLU02"
"702",37,"CH05","SLU04"
"703",62,"CH05","SLU07"
